roi,cycle_index,cell_id,t_start,t_end,move_s,x_start,x_end,speed_px_per_s,speed_um_per_s
left,5,7,46.53465267750557,46.62144581816857,0.08679314066299781,,,,
left,6,7,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,7,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,8,6.5346526775055676,6.621445818168571,0.08679314066300314,235.0,235.0,0.0,0.0
left,1,8,14.534652677505568,14.62144581816857,0.08679314066300314,235.0,235.0,0.0,0.0
left,2,8,22.53465267750557,22.62144581816857,0.08679314066300137,235.0,235.0,0.0,0.0
left,3,8,30.53465267750557,30.62144581816857,0.08679314066300137,235.0,235.0,0.0,0.0
left,4,8,38.53465267750557,38.62144581816857,0.08679314066299781,,,,
left,5,8,46.53465267750557,46.62144581816857,0.08679314066299781,,,,
left,6,8,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,8,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,9,6.5346526775055676,6.621445818168571,0.08679314066300314,,,,
left,1,9,14.534652677505568,14.62144581816857,0.08679314066300314,,,,
left,2,9,22.53465267750557,22.62144581816857,0.08679314066300137,,,,
left,3,9,30.53465267750557,30.62144581816857,0.08679314066300137,,,,
left,4,9,38.53465267750557,38.62144581816857,0.08679314066299781,,,,
left,5,9,46.53465267750557,46.62144581816857,0.08679314066299781,,,,
left,6,9,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,9,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,10,6.5346526775055676,6.621445818168571,0.08679314066300314,231.0,227.43300654753443,41.0976423392183,62.31231371021175
left,1,10,14.534652677505568,14.62144581816857,0.08679314066300314,235.0,233.43300654753438,18.054346697164494,27.374030508632767
left,2,10,22.53465267750557,22.62144581816857,0.08679314066300137,,,,
left,3,10,30.53465267750557,30.62144581816857,0.08679314066300137,,,,
left,4,10,38.53465267750557,38.62144581816857,0.08679314066299781,,,,
left,5,10,46.53465267750557,46.62144581816857,0.08679314066299781,,,,
left,6,10,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,10,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,11,6.5346526775055676,6.621445818168571,0.08679314066300314,233.0,231.0,23.04329564205446,34.93828320157998
left,1,11,14.534652677505568,14.62144581816857,0.08679314066300314,,,,
left,2,11,22.53465267750557,22.62144581816857,0.08679314066300137,,,,
left,3,11,30.53465267750557,30.62144581816857,0.08679314066300137,,,,
left,4,11,38.53465267750557,38.62144581816857,0.08679314066299781,,,,
left,5,11,46.53465267750557,46.62144581816857,0.08679314066299781,,,,
left,6,11,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,11,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,12,6.5346526775055676,6.621445818168571,0.08679314066300314,232.0,229.0,34.56494346308169,52.407424802369974
left,1,12,14.534652677505568,14.62144581816857,0.08679314066300314,234.0,233.0,11.52164782102723,17.46914160078999
left,2,12,22.53465267750557,22.62144581816857,0.08679314066300137,,,,
left,3,12,30.53465267750557,30.62144581816857,0.08679314066300137,,,,
left,4,12,38.53465267750557,38.62144581816857,0.08679314066299781,,,,
left,5,12,46.53465267750557,46.62144581816857,0.08679314066299781,,,,
left,6,12,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,12,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,13,6.5346526775055676,6.621445818168571,0.08679314066300314,233.0,233.0,0.0,0.0
left,1,13,14.534652677505568,14.62144581816857,0.08679314066300314,232.0,232.0,0.0,0.0
left,2,13,22.53465267750557,22.62144581816857,0.08679314066300137,232.0,232.0,0.0,0.0
left,3,13,30.53465267750557,30.62144581816857,0.08679314066300137,233.0,233.0,0.0,0.0
left,4,13,38.53465267750557,38.62144581816857,0.08679314066299781,233.0,233.0,0.0,0.0
left,5,13,46.53465267750557,46.62144581816857,0.08679314066299781,232.0,232.0,0.0,0.0
